ExitID,EmployeeID,ExitDate,ExitReason
EXT000001,EMP000001,2025-03-23,
EXT000002,EMP000005,2024-07-12,Death
EXT000003,EMP000007,2019-06-10,
EXT000004,EMP000017,2023-11-13,
EXT000005,EMP000021,2023-09-09,Retirement
EXT000006,EMP000026,2023-02-12,Termination
EXT000007,EMP000029,2025-05-16,Death
EXT000008,EMP000048,2024-09-26,Death
EXT000009,EMP000059,2020-08-04,Unknown
EXT000010,EMP000064,2024-01-02,Relocation
EXT000011,EMP000066,2022-06-21,Resignation
EXT000012,EMP000070,2024-02-26,Death
EXT000013,EMP000083,2021-05-07,Retirement
EXT000014,EMP000084,2019-08-22,Relocation
EXT000015,EMP000087,2020-06-05,
EXT000016,EMP000088,2019-03-17,Relocation
EXT000017,EMP000090,2021-09-09,Retirement
EXT000018,EMP000093,2024-06-05,Termination
EXT000019,EMP000125,2024-03-27,Contract End
EXT000020,EMP000129,2022-11-19,Quit
EXT000021,EMP000133,2024-02-11,Termination
EXT000022,EMP000139,2020-04-15,Resignation
EXT000023,EMP000154,2024-12-16,Termination
EXT000024,EMP000157,2025-07-06,Resignation
EXT000025,EMP000160,2019-08-27,Resignation
EXT000026,EMP000170,2019-08-02,Termination
EXT000027,EMP000180,2019-02-01,
EXT000028,EMP000181,2020-12-14,Retirement
EXT000029,EMP000187,2025-04-24,Contract End
EXT000030,EMP000191,2020-10-27,Resignation
EXT000031,EMP000197,2022-03-09,Relocation
EXT000032,EMP000202,2025-08-13,
EXT000033,EMP000205,2024-05-05,
EXT000034,EMP000217,2021-09-18,Resignation
EXT000035,EMP000222,2022-09-16,Retirement
EXT000036,EMP000234,2019-09-04,Relocation
EXT000037,EMP000237,2020-06-21,Retirement
EXT000038,EMP000242,2020-02-04,Termination
EXT000039,EMP000248,2024-05-19,Quit
EXT000040,EMP000249,2022-01-17,Contract End
EXT000041,EMP000255,2020-05-03,Resignation
EXT000042,EMP000267,2022-10-03,Contract End
EXT000043,EMP000271,2023-03-12,Termination
EXT000044,EMP000274,2019-11-20,Retirement
EXT000045,EMP000275,2025-10-04,Relocation
EXT000046,EMP000295,2019-01-18,Termination
EXT000047,EMP000296,2019-08-10,Quit
EXT000048,EMP000299,2022-10-05,Contract End
EXT000049,EMP000302,2023-07-13,Resignation
EXT000050,EMP000307,2019-12-15,Relocation
EXT000051,EMP000312,2021-04-25,Contract End
EXT000052,EMP000314,2023-08-21,Relocation
EXT000053,EMP000323,2025-04-02,Resignation
EXT000054,EMP000331,2025-04-07,Relocation
EXT000055,EMP000332,2019-05-24,Retirement
