LeaveID,EmployeeID,LeaveType,StartDate,EndDate,DurationDays,ApprovalStatus
LEV000001,EMP000001,Paternity Leave,2019-07-15,2019-08-07,23,Approved
LEV000002,EMP000001,Annual Leave,2019-05-01,2019-05-21,20,Approved
LEV000003,EMP000001,Leave,2020-02-02,2020-02-08,6,Approved
LEV000004,EMP000001,Compassionate Leave,2024-10-06,2024-10-21,15,Pending
LEV000005,EMP000002,Annual Leave,2024-07-11,2024-07-13,2,Rejected
LEV000006,EMP000003,Compassionate Leave,2021-05-30,2021-06-05,6,Approved
LEV000007,EMP000003,Maternity Leave,2021-12-13,2021-12-23,10,Pending
LEV000008,EMP000004,Maternity Leave,2022-12-18,2022-12-26,8,Approved
LEV000009,EMP000004,Study Leave,2019-07-19,2019-08-13,25,Approved
LEV000010,EMP000004,Compassionate Leave,2023-05-11,2023-05-28,17,Approved
LEV000011,EMP000004,Study Leave,2019-09-05,2019-09-15,10,Approved
LEV000012,EMP000005,Maternity Leave,2023-07-09,2023-07-17,8,Approved
LEV000013,EMP000006,Maternity Leave,2021-11-01,2021-11-09,8,Approved
LEV000014,EMP000006,Paternity Leave,2024-02-11,2024-02-20,9,Approved
LEV000015,EMP000006,Annual Leave,2021-03-12,2021-03-20,8,Approved
LEV000016,EMP000007,Study Leave,2019-09-29,2019-10-03,4,Approved
LEV000017,EMP000007,Paternity Leave,2021-11-28,2021-12-01,3,Approved
LEV000018,EMP000007,Annual Leave,2023-10-01,2023-10-26,25,Rejected
LEV000019,EMP000007,Maternity Leave,2025-05-04,2025-06-02,-5,Rejected
LEV000020,EMP000008,Sick Leave,2019-10-10,2019-11-05,26,Rejected
LEV000021,EMP000008,Compassionate Leave,2022-06-25,2022-07-01,6,Rejected
LEV000022,EMP000008,Annual Leave,2021-10-14,2021-10-22,8,Pending
LEV000023,EMP000009,UNKNOWN,2021-02-24,2021-03-04,8,Approved
LEV000024,EMP000009,Study Leave,2019-04-25,2019-05-19,24,Approved
LEV000025,EMP000009,Maternity Leave,2019-03-06,2019-03-19,13,Approved
LEV000026,EMP000010,Sick Leave,2024-02-03,2024-02-27,24,Approved
LEV000027,EMP000010,Maternity Leave,2020-05-19,2020-05-30,11,Rejected
LEV000028,EMP000011,Sick Leave,2022-04-26,2022-05-21,25,Approved
LEV000029,EMP000011,Compassionate Leave,2024-08-18,2024-08-31,13,Approved
LEV000030,EMP000012,Study Leave,2023-11-06,2023-11-13,7,Approved
LEV000031,EMP000012,Sick,2020-03-22,2020-04-13,22,Pending
LEV000032,EMP000012,Annual Leave,2024-05-17,2024-05-23,6,Pending
LEV000033,EMP000012,Compassionate Leave,2020-04-28,2020-05-21,23,Rejected
LEV000034,EMP000013,Study Leave,2020-07-30,2020-08-13,14,Approved
LEV000035,EMP000013,Compassionate Leave,2020-11-20,2020-12-07,17,Approved
LEV000036,EMP000014,Study Leave,2020-07-23,2020-07-25,2,Pending
LEV000037,EMP000014,Maternity Leave,2021-04-27,2021-05-06,9,Approved
LEV000038,EMP000014,Paternity Leave,2019-08-28,2019-09-20,23,Approved
LEV000039,EMP000015,Annual Leave,2021-08-21,2021-09-15,25,Rejected
LEV000040,EMP000015,Annual Leave,2022-09-04,2022-09-18,14,Rejected
LEV000041,EMP000015,Compassionate Leave,2023-12-18,2024-01-17,30,Rejected
LEV000042,EMP000016,Paternity Leave,2022-02-15,2022-03-10,23,Approved
LEV000043,EMP000016,Sick Leave,2025-11-23,2025-12-14,21,Approved
LEV000044,EMP000017,Compassionate Leave,2021-02-23,2021-03-09,14,Rejected
LEV000045,EMP000018,Annual Leave,2020-04-27,2020-05-04,7,Pending
LEV000046,EMP000018,Maternity Leave,2020-05-17,2020-06-14,28,Pending
LEV000047,EMP000019,Study Leave,2022-07-19,2022-07-25,6,Approved
LEV000048,EMP000020,Paternity Leave,2022-04-11,2022-05-07,26,Pending
LEV000049,EMP000020,Compassionate Leave,2019-02-12,2019-02-28,16,Approved
LEV000050,EMP000020,Annual Leave,2024-06-05,2024-06-24,19,Pending
LEV000051,EMP000020,Maternity Leave,2025-02-19,2025-03-01,10,Rejected
LEV000052,EMP000024,Paternity Leave,2023-10-09,2023-10-24,15,Approved
LEV000053,EMP000025,Study Leave,2021-04-16,2021-05-10,24,Approved
LEV000054,EMP000025,Compassionate Leave,2019-04-25,2019-05-15,20,Approved
LEV000055,EMP000025,Sick Leave,2021-02-01,2021-03-01,28,Approved
LEV000056,EMP000025,Study Leave,2022-03-06,2022-03-10,4,Rejected
LEV000057,EMP000026,Maternity Leave,2025-10-21,2025-11-04,14,Rejected
LEV000058,EMP000026,Maternity Leave,2025-11-26,2025-11-28,2,Approved
LEV000059,EMP000027,Maternity Leave,2025-12-25,2025-12-27,2,Approved
LEV000060,EMP000027,Paternity Leave,2024-02-13,2024-03-11,27,Rejected
LEV000061,EMP000028,Study Leave,2022-08-17,2022-09-06,20,Approved
LEV000062,EMP000028,Maternity Leave,2021-08-21,2021-09-14,24,Rejected
LEV000063,EMP000029,Study Leave,2025-07-03,2025-08-01,29,Rejected
LEV000064,EMP000029,Maternity Leave,2019-04-24,2019-05-15,21,Approved
LEV000065,EMP000030,Maternity Leave,2025-02-13,2025-03-05,20,Approved
LEV000066,EMP000030,Maternity Leave,2025-04-06,2025-04-27,21,Approved
LEV000067,EMP000031,Paternity Leave,2023-05-17,2023-06-13,27,Approved
LEV000068,EMP000031,Compassionate Leave,2024-01-30,2024-02-19,20,Approved
LEV000069,EMP000032,Paternity Leave,2020-07-26,2020-08-03,8,Pending
LEV000070,EMP000032,Maternity Leave,2021-08-30,2021-09-17,18,Approved
LEV000071,EMP000032,Paternity Leave,2020-04-07,2020-05-05,28,Pending
LEV000072,EMP000033,Paternity Leave,2019-11-16,2019-11-18,2,Approved
LEV000073,EMP000033,Sick Leave,2021-03-02,2021-03-27,25,Pending
LEV000074,EMP000034,Sick Leave,2022-01-26,2022-01-27,1,Pending
LEV000075,EMP000035,Study Leave,2019-10-25,2019-10-30,5,Approved
LEV000076,EMP000035,Annual Leave,2025-08-20,2025-08-28,8,Approved
LEV000077,EMP000036,Annual Leave,2025-06-22,2025-07-12,20,Approved
LEV000078,EMP000036,,2024-05-23,2024-06-02,10,Approved
LEV000079,EMP000036,Annual Leave,2021-03-08,2021-03-12,4,Approved
LEV000080,EMP000038,Annual Leave,2023-04-06,2023-04-25,19,Rejected
LEV000081,EMP000038,Compassionate Leave,2024-12-09,2024-12-18,9,Approved
LEV000082,EMP000038,Study Leave,2021-09-16,2021-09-18,2,Approved
