EmployeeID,GradeID,BasicSalary,Allowance,Tax,NetSalary
EMP000001,SG03,295761.0,59152.2,23660.88,331252.32
EMP000002,SG03,378073.0,75614.6,30245.84,423441.76
EMP000003,SG03,259262.0,51852.4,20740.96,290373.44
EMP000004,SG06,1056969.0,211393.8,84557.52,1183805.28
EMP000005,SG03,374579.0,74915.8,29966.32,419528.48
EMP000006,SG03,,70524.8,28209.92,394938.88
EMP000007,SG06,984715.0,196943.0,78777.2,1102880.8
EMP000008,SG03,271202.0,54240.4,21696.16,303746.24000000005
EMP000009,SG06,1445091.0,289018.2,115607.28,1618501.92
EMP000010,SG03,275651.0,55130.2,22052.08,308729.12
EMP000011,,2975918.0,595183.6,238073.44,3333028.16
EMP000012,SG01,177971.0,35594.200000000004,14237.68,199327.52
EMP000013,SG04,586611.0,117322.2,46928.88,657004.32
EMP000014,SG06,-1013706.0,202741.2,81096.48,1135350.72
EMP000015,SG04,420187.0,84037.40000000001,33614.96,470609.44
EMP000016,,1227029.0,245405.8,98162.32,1374272.48
EMP000017,SG01,157318.0,31463.6,12585.44,176196.16
EMP000018,SG05,766891.0,153378.2,61351.28,858917.9199999999
EMP000019,SG03,-368357.0,73671.40000000001,29468.56,412559.84
EMP000020,SG06,,218989.6,87595.84,1226341.76
EMP000021,SG03,317899.0,63579.8,25431.92,356046.88
EMP000022,SG06,1391446.0,278289.2,111315.68,1558419.52
EMP000023,SG06,939871.0,187974.2,75189.68000000001,1052655.52
EMP000024,SG01,,30177.0,12070.8,168991.2
EMP000025,SG06,1314995.0,262999.0,105199.6,1472794.4
EMP000026,SG05,761157.0,152231.4,60892.56,852495.8400000001
EMP000027,SG04,592135.0,118427.0,47370.8,663191.2
EMP000028,SG05,672334.0,134466.80000000002,53786.72,753014.0800000001
EMP000029,SG06,1429921.0,285984.2,-10000.0,1601511.52
EMP000030,SG01,145944.0,29188.800000000003,11675.52,163457.28
EMP000031,SG04,491681.0,98336.2,39334.48,550682.72
EMP000032,SG02,227285.0,45457.0,18182.8,254559.2
EMP000033,SG03,337142.0,67428.40000000001,26971.36,377599.04
EMP000034,SG03,382623.0,76524.6,30609.84,428537.76
EMP000035,SG02,240288.0,48057.600000000006,19223.04,269122.56
EMP000036,SG04,490452.0,98090.4,39236.16,549306.24
EMP000037,SG04,628843.0,125768.6,50307.44,704304.1599999999
EMP000038,SG04,522950.0,104590.0,41836.0,585704.0
EMP000039,SG05,809966.0,161993.2,64797.28,907161.92
EMP000040,SG01,129038.0,25807.6,10323.04,144522.56
EMP000041,SG04,630375.0,126075.0,50430.0,706020.0
EMP000042,SG06,1457392.0,291478.4,116591.36,1632279.0399999998
EMP000043,SG04,640711.0,128142.2,51256.880000000005,717596.32
EMP000044,SG06,1104240.0,220848.0,88339.2,1236748.8
EMP000045,SG07,,397934.0,159173.6,2228430.4
EMP000046,SG08,2524486.0,504897.2,201958.88,2827424.3200000003
EMP000047,SG06,1400971.0,280194.2,112077.68,1569087.52
EMP000048,SG04,527264.0,105452.8,42181.12,590535.68
EMP000049,SG06,998332.0,199666.4,79866.56,1118131.84
EMP000050,SG05,710866.0,142173.2,56869.28,796169.9199999999
EMP000051,SG03,296240.0,59248.0,23699.2,331788.8
EMP000052,SG03,349719.0,69943.8,27977.52,391685.28
EMP000053,SG02,195876.0,39175.2,15670.08,219381.12
EMP000054,SG03,326246.0,65249.2,26099.68,365395.52
EMP000055,SG02,225469.0,45093.8,18037.52,252525.28
EMP000056,SG03,346751.0,69350.2,27740.08,388361.12
EMP000057,SG03,,69797.8,27919.12,390867.68
EMP000058,SG06,1272920.0,254584.0,101833.6,1425670.4
EMP000059,SG03,307215.0,61443.0,24577.2,344080.8
EMP000060,SG02,189747.0,37949.4,15179.76,212516.64
EMP000061,SG05,812867.0,162573.40000000002,65029.36,910411.04
EMP000062,SG04,607109.0,121421.8,48568.72,679962.0800000001
EMP000063,SG03,381221.0,76244.2,30497.68,426967.52
EMP000064,SG03,271485.0,54297.0,21718.8,304063.2
EMP000065,SG04,483522.0,96704.4,38681.76,541544.64
EMP000066,SG04,598676.0,119735.2,47894.08,670517.12
EMP000067,SG06,973321.0,194664.2,77865.68000000001,1090119.52
EMP000068,SG06,1036613.0,207322.6,82929.04000000001,1161006.56
EMP000069,SG02,235390.0,47078.0,18831.2,263636.8
EMP000070,SG04,536143.0,107228.6,42891.44,600480.1599999999
EMP000071,SG04,546315.0,109263.0,43705.2,611872.8
EMP000072,SG04,561534.0,112306.8,44922.72,628918.0800000001
EMP000073,SG06,1166128.0,233225.6,93290.24,1306063.36
EMP000074,SG04,595034.0,119006.8,47602.72,666438.0800000001
EMP000075,SG03,251854.0,50370.8,20148.32,282076.48
EMP000076,SG04,440062.0,88012.40000000001,35204.96,492869.44
EMP000077,SG02,199824.0,39964.8,15985.92,223802.88
EMP000078,SG03,380245.0,76049.0,30419.6,425874.4
EMP000079,SG04,419343.0,83868.6,33547.44,469664.16
EMP000080,SG02,185733.0,37146.6,14858.64,208020.96
EMP000081,SG08,2309985.0,461997.0,184798.8,2587183.2
EMP000082,SG06,1285768.0,257153.6,102861.44,1440060.16
EMP000083,SG01,173744.0,34748.8,13899.52,194593.28
EMP000084,SG06,1183693.0,236738.6,94695.44,1325736.16
EMP000085,SG07,2114265.0,422853.0,169141.2,2367976.8
EMP000086,SG06,1223406.0,244681.2,97872.48,1370214.72
EMP000087,SG05,760754.0,152150.80000000002,60860.32,852044.4800000001
EMP000088,SG03,,50054.0,20021.6,280302.4
EMP000089,SG03,284248.0,56849.600000000006,22739.84,318357.75999999995
EMP000090,SG03,252167.0,50433.4,20173.36,282427.04000000004
EMP000091,SG03,349210.0,69842.0,27936.8,391115.2
EMP000092,SG03,386935.0,77387.0,30954.8,433367.2
EMP000093,SG04,403000.0,80600.0,32240.0,451360.0
EMP000094,SG04,470035.0,94007.0,37602.8,526439.2
EMP000095,SG01,130741.0,26148.2,10459.28,146429.92
EMP000096,SG04,549852.0,109970.4,43988.16,615834.24
EMP000097,SG07,1679804.0,335960.80000000005,134384.32,1881380.48
EMP000098,SG06,1241296.0,248259.2,99303.68,1390251.52
EMP000099,SG05,868833.0,173766.6,69506.64,973092.96
EMP000100,SG03,258500.0,51700.0,20680.0,289520.0
EMP000101,SG03,377041.0,75408.2,30163.28,422285.92
EMP000102,SG04,422937.0,84587.40000000001,33834.96,473689.44
EMP000103,SG04,479050.0,95810.0,38324.0,536536.0
EMP000104,,576685.0,115337.0,46134.8,645887.2
EMP000105,SG03,289305.0,57861.0,23144.4,324021.6
EMP000106,SG04,405062.0,81012.40000000001,32404.96,453669.44
EMP000107,SG04,557066.0,111413.2,44565.28,623913.9199999999
EMP000108,SG04,465891.0,93178.2,37271.28,521797.9199999999
