ReviewID,EmployeeID,ReviewDate,Reviewer,Rating,Score
REV000001,EMP000001,2024-04-14,Line Manager,Good,73
REV000001,EMP000001,2022-08-04,Line Manager,Very Good,89
REV000001,EMP000001,2020-05-16,HR Manager,Good,78
REV000001,EMP000001,2023-02-06,Line Manager,Excellent,96
REV000001,EMP000001,2022-05-17,HR Manager,Good,73
REV000001,EMP000001,2023-07-13,Department Head,Good,78
REV000001,EMP000001,2024-08-01,HR Manager,Good,78
REV000001,EMP000002,2019-07-04,Line Manager,Good,74
REV000001,EMP000002,2025-06-25,Department Head,Needs Improvement,56
REV000001,EMP000002,2019-06-23,HR Manager,Good,77
REV000001,EMP000002,2022-03-09,Department Head,Good,72
REV000001,EMP000002,2021-04-20,Department Head,Good,72
REV000001,EMP000002,2020-02-26,HR Manager,Good,76
REV000001,EMP000002,2021-05-25,Line Manager,Good,78
REV000001,EMP000003,2020-05-20,Department Head,Needs Improvement,57
REV000001,EMP000003,2021-12-23,HR Manager,Needs Improvement,66
REV000001,EMP000003,2023-02-15,Department Head,Good,70
REV000001,EMP000003,2023-08-28,HR Manager,Needs Improvement,52
REV000001,EMP000003,2020-12-19,HR Manager,Very Good,88
REV000001,EMP000003,2020-07-23,Department Head,Good,72
REV000001,EMP000003,2021-09-13,Line Manager,Good,78
REV000001,EMP000004,2021-01-08,Department Head,Very Good,85
REV000001,EMP000004,2020-08-18,Department Head,Excellent,94
REV000001,EMP000004,2022-08-17,Department Head,Good,72
REV000001,EMP000004,2023-01-07,HR Manager,Good,75
REV000001,EMP000004,2021-09-26,Department Head,Needs Improvement,57
REV000001,EMP000004,2023-02-04,Department Head,Very Good,87
REV000001,EMP000004,2023-03-09,HR Manager,Needs Improvement,58
REV000001,EMP000005,2020-09-17,Line Manager,Poor,49
REV000001,EMP000005,2019-09-01,Line Manager,Very Good,84
REV000001,EMP000005,2020-11-01,Department Head,Good,73
REV000001,EMP000005,2025-07-11,HR Manager,Very Good,84
REV000001,EMP000005,2020-03-16,Department Head,Good,73
REV000001,EMP000005,2019-05-12,Department Head,Good,79
REV000001,EMP000005,2020-07-04,HR Manager,Very Good,80
REV000001,EMP000006,2025-01-28,HR Manager,Very Good,83
REV000001,EMP000006,2022-11-20,HR Manager,Good,77
REV000001,EMP000006,2019-07-25,Department Head,Good,78
REV000001,EMP000006,2019-02-10,Department Head,Very Good,84
REV000001,EMP000006,2024-01-24,HR Manager,Excellent,93
REV000001,EMP000006,2019-08-15,Line Manager,Good,78
REV000001,EMP000006,2021-02-02,HR Manager,Very Good,86
REV000001,EMP000007,2025-08-17,Line Manager,Good,77
REV000001,EMP000007,2023-07-07,Line Manager,Good,72
REV000001,EMP000007,2025-01-24,Department Head,Good,72
REV000001,EMP000007,2021-06-08,Line Manager,Very Good,88
REV000001,EMP000007,2023-02-03,Department Head,Excellent,96
REV000001,EMP000007,2024-08-19,Department Head,Very Good,84
REV000001,EMP000007,2025-06-27,Department Head,Good,71
REV000001,EMP000008,2023-03-21,Line Manager,Poor,41
REV000001,EMP000008,2023-02-11,Line Manager,Good,70
REV000001,EMP000008,2022-07-21,HR Manager,Needs Improvement,56
REV000001,EMP000008,2022-11-09,Department Head,Good,75
REV000001,EMP000008,2021-09-17,HR Manager,Good,72
REV000001,EMP000008,2019-06-22,Line Manager,Very Good,82
REV000001,EMP000008,2020-03-15,HR Manager,Good,74
