PromotionID,EmployeeID,PromotionDate,PromotionReason
PRO000001,EMP000002,2023-08-12,
PRO000002,EMP000005,2021-06-17,Outstanding Performance
PRO000003,EMP000006,2023-09-18,Years of Service
PRO000004,EMP000007,2020-06-02,Internal Recruitment
PRO000005,EMP000008,2023-03-14,Internal Recruitment
PRO000006,EMP000010,2025-03-19,Years of Service
PRO000007,EMP000015,2020-05-11,Leadership Potential
PRO000008,EMP000017,2022-10-01,Outstanding Performance
PRO000009,EMP000019,2025-04-28,Outstanding Performance
PRO000010,EMP000020,2023-09-11,Outstanding Performance
PRO000011,EMP000027,2024-10-16,Leadership Potential
PRO000012,EMP000031,2025-06-01,Outstanding Performance
PRO000013,EMP000045,2024-09-17,Leadership Potential
PRO000014,EMP000051,2019-04-11,Promotion
PRO000015,EMP000058,2020-12-10,Department Expansion
PRO000016,EMP000060,2023-08-17,
PRO000017,EMP000061,2022-12-26,Good
PRO000018,EMP000067,2024-09-27,Transfer
PRO000019,EMP000070,2019-02-08,Internal Recruitment
PRO000020,EMP000074,2023-09-12,Leadership Potential
PRO000021,EMP000077,2022-05-27,Outstanding Performance
PRO000022,EMP000078,2022-09-22,Department Expansion
PRO000023,EMP000083,2022-02-04,Outstanding Performance
PRO000024,EMP000088,2020-10-24,Leadership Potential
PRO000025,EMP000090,2019-01-04,Years of Service
PRO000026,EMP000091,2023-11-05,Outstanding Performance
PRO000027,EMP000092,2020-06-04,Outstanding Performance
PRO000028,EMP000098,2021-09-05,Department Expansion
PRO000029,EMP000102,2019-09-17,Leadership Potential
PRO000030,EMP000104,2019-03-09,
PRO000031,EMP000109,2022-02-01,Transfer
PRO000032,EMP000111,2022-09-22,Years of Service
PRO000033,EMP000112,2021-11-07,Years of Service
PRO000034,EMP000113,2024-06-16,Internal Recruitment
PRO000035,EMP000117,2025-09-09,Department Expansion
PRO000036,EMP000118,2024-11-07,Leadership Potential
PRO000037,EMP000120,2024-08-03,Leadership Potential
PRO000038,EMP000121,2024-12-21,Outstanding Performance
PRO000039,EMP000122,2021-03-12,Internal Recruitment
PRO000040,EMP000128,2025-08-03,Department Expansion
PRO000041,EMP000129,2020-03-11,Years of Service
PRO000042,EMP000131,2019-02-18,Years of Service
PRO000043,EMP000134,2020-01-17,Department Expansion
PRO000044,EMP000135,2022-03-19,Leadership Potential
PRO000045,EMP000144,2019-11-25,Years of Service
PRO000046,EMP000147,2019-09-13,
PRO000047,EMP000149,2025-11-13,Years of Service
PRO000048,EMP000154,2025-09-20,
PRO000049,EMP000158,2023-11-08,Leadership Potential
PRO000050,EMP000160,2025-08-28,Department Expansion
PRO000051,EMP000166,2024-10-24,Outstanding Performance
PRO000052,EMP000167,2025-08-06,Leadership Potential
PRO000053,EMP000168,2024-08-05,Internal Recruitment
PRO000054,EMP000170,2025-12-26,Promotion
PRO000055,EMP000177,2019-08-07,Promotion
PRO000056,EMP000179,2024-02-05,Years of Service
PRO000057,EMP000181,2024-09-27,Department Expansion
PRO000058,EMP000184,2022-07-01,Years of Service
PRO000059,EMP000187,2021-04-26,Years of Service
PRO000060,EMP000196,2024-09-17,Outstanding Performance
PRO000061,EMP000198,2020-05-04,Leadership Potential
PRO000062,EMP000199,2020-05-14,Outstanding Performance
PRO000063,EMP000202,2023-08-04,Outstanding Performance
PRO000064,EMP000206,2023-07-07,
PRO000065,EMP000208,2024-01-28,Internal Recruitment
PRO000066,EMP000209,2021-09-09,Internal Recruitment
PRO000067,EMP000210,2024-10-06,Department Expansion
PRO000068,EMP000212,2023-04-24,Department Expansion
PRO000069,EMP000217,2022-09-23,Leadership Potential
PRO000070,EMP000235,2024-06-15,Outstanding Performance
PRO000071,EMP000238,2025-09-05,
PRO000072,EMP000240,2024-04-23,Department Expansion
PRO000073,EMP000249,2023-01-15,Transfer
PRO000074,EMP000252,2025-10-12,
PRO000075,EMP000253,2025-12-04,Years of Service
PRO000076,EMP000254,2021-01-16,Years of Service
PRO000077,EMP000257,2024-10-07,Internal Recruitment
PRO000078,EMP000261,2021-04-17,Leadership Potential
PRO000079,EMP000270,2025-10-26,Years of Service
PRO000080,EMP000271,2024-05-17,Department Expansion
PRO000081,EMP000273,2025-08-14,Outstanding Performance
PRO000082,EMP000274,2019-12-06,Excellent
PRO000083,EMP000277,2019-06-28,Outstanding Performance
PRO000084,EMP000278,2025-01-20,Years of Service
PRO000085,EMP000281,2024-07-12,Years of Service
PRO000086,EMP000286,2024-05-02,Years of Service
PRO000087,EMP000290,2024-11-14,Transfer
PRO000088,EMP000293,2023-04-13,Years of Service
PRO000089,EMP000297,2025-12-08,Leadership Potential
PRO000090,EMP000299,2025-07-03,Department Expansion
PRO000091,EMP000300,2021-04-08,Outstanding Performance
PRO000092,EMP000301,2023-03-08,Leadership Potential
PRO000093,EMP000307,2025-03-13,Internal Recruitment
PRO000094,EMP000309,2022-06-13,
PRO000095,EMP000311,2022-11-14,Internal Recruitment
PRO000096,EMP000313,2024-01-18,Internal Recruitment
PRO000097,EMP000316,2023-04-14,
PRO000098,EMP000317,2020-02-14,Outstanding Performance
PRO000099,EMP000318,2020-11-17,Department Expansion
PRO000100,EMP000319,2025-04-11,Leadership Potential
PRO000101,EMP000322,2019-07-28,Department Expansion
PRO000102,EMP000323,2019-10-07,Department Expansion
PRO000103,EMP000326,2021-04-25,
PRO000104,EMP000327,2023-10-13,Internal Recruitment
PRO000105,EMP000328,2022-09-05,Department Expansion
PRO000106,EMP000330,2021-03-04,Outstanding Performance
PRO000107,EMP000333,2019-07-03,
PRO000108,EMP000334,2024-02-21,Leadership Potential
PRO000109,EMP000335,2024-04-27,Outstanding Performance
PRO000110,EMP000342,2023-03-03,Excellent
PRO000111,EMP000346,2019-07-23,Leadership Potential
PRO000112,EMP000353,2023-02-04,Outstanding Performance
PRO000113,EMP000355,2025-11-18,Leadership Potential
PRO000114,EMP000359,2020-06-22,Leadership Potential
PRO000115,EMP000364,2025-07-02,Leadership Potential
PRO000116,EMP000365,2020-10-02,Years of Service
PRO000117,EMP000372,2024-10-12,Leadership Potential
PRO000118,EMP000377,2019-01-06,Department Expansion
PRO000119,EMP000381,2021-02-02,Leadership Potential
PRO000120,EMP000384,2021-12-25,Internal Recruitment
PRO000121,EMP000385,2024-05-24,Outstanding Performance
PRO000122,EMP000388,2024-01-25,Internal Recruitment
PRO000123,EMP000392,2023-05-02,Department Expansion
PRO000124,EMP000393,2023-06-18,Department Expansion
PRO000125,EMP000396,2021-03-08,Promotion
PRO000126,EMP000397,2023-03-01,Internal Recruitment
PRO000127,EMP000398,2019-06-24,Leadership Potential
PRO000128,EMP000401,2020-09-26,Leadership Potential
PRO000129,EMP000405,2021-01-25,Leadership Potential
PRO000130,EMP000409,2024-10-06,Department Expansion
PRO000131,EMP000411,2024-10-03,N/A
PRO000132,EMP000412,2025-04-13,Internal Recruitment
PRO000133,EMP000413,2022-10-03,Department Expansion
PRO000134,EMP000416,2021-08-27,Outstanding Performance
PRO000135,EMP000421,2025-01-27,Years of Service
PRO000136,EMP000422,2024-01-14,Leadership Potential
PRO000137,EMP000423,2024-04-21,Department Expansion
PRO000138,EMP000424,2025-03-26,Outstanding Performance
PRO000139,EMP000430,2025-04-18,Leadership Potential
PRO000140,EMP000452,2020-10-03,Internal Recruitment
PRO000141,EMP000453,2024-06-16,Promotion
PRO000142,EMP000455,2024-02-03,Internal Recruitment
PRO000143,EMP000456,2019-10-27,Years of Service
PRO000144,EMP000457,2020-12-17,Department Expansion
PRO000145,EMP000467,2019-07-08,Leadership Potential
PRO000146,EMP000469,2024-01-09,
PRO000147,EMP000473,2022-05-25,Outstanding Performance
PRO000148,EMP000474,2022-06-20,Internal Recruitment
PRO000149,EMP000480,2025-06-22,Years of Service
PRO000150,EMP000481,2020-06-12,N/A
PRO000151,EMP000485,2021-02-09,
PRO000152,EMP000489,2024-04-24,Leadership Potential
PRO000153,EMP000493,2024-11-25,Outstanding Performance
PRO000154,EMP000495,2024-03-16,Internal Recruitment
PRO000155,EMP000499,2025-03-19,Years of Service
PRO000156,EMP000500,2019-12-24,Department Expansion
PRO000157,EMP000504,2021-05-26,
PRO000158,EMP000506,2024-08-23,Internal Recruitment
PRO000159,EMP000513,2023-04-15,Internal Recruitment
PRO000160,EMP000516,2022-06-25,Outstanding Performance
PRO000161,EMP000521,2024-03-01,Years of Service
PRO000162,EMP000525,2020-12-19,Leadership Potential
PRO000163,EMP000528,2022-09-02,Good
PRO000164,EMP000529,2022-07-20,Department Expansion
PRO000165,EMP000531,2025-03-03,Years of Service
PRO000166,EMP000533,2019-11-19,Internal Recruitment
PRO000167,EMP000535,2019-01-22,Promotion
PRO000168,EMP000539,2024-07-13,Internal Recruitment
PRO000169,EMP000541,2020-03-21,Outstanding Performance
PRO000170,EMP000544,2023-02-18,Promotion
PRO000171,EMP000545,2021-04-13,Outstanding Performance
PRO000172,EMP000546,2023-05-23,Outstanding Performance
PRO000173,EMP000551,2020-04-26,Internal Recruitment
PRO000174,EMP000555,2022-11-27,Promotion
PRO000175,EMP000557,2024-10-01,
PRO000176,EMP000565,2024-12-05,Years of Service
PRO000177,EMP000566,2024-11-05,Internal Recruitment
PRO000178,EMP000568,2021-03-01,Department Expansion
PRO000179,EMP000577,2021-02-05,Department Expansion
PRO000180,EMP000582,2020-03-25,Outstanding Performance
PRO000181,EMP000583,2022-06-23,Leadership Potential
PRO000182,EMP000585,2020-08-14,Internal Recruitment
PRO000183,EMP000587,2025-10-25,Department Expansion
PRO000184,EMP000591,2024-07-22,Internal Recruitment
PRO000185,EMP000592,2024-05-24,Department Expansion
PRO000186,EMP000597,2021-06-08,Outstanding Performance
PRO000187,EMP000601,2019-10-06,Promotion
PRO000188,EMP000603,2024-10-12,Years of Service
PRO000189,EMP000606,2019-05-24,Department Expansion
PRO000190,EMP000607,2020-04-19,Department Expansion
PRO000191,EMP000614,2020-07-19,Internal Recruitment
PRO000192,EMP000623,2022-08-21,Years of Service
PRO000193,EMP000627,2024-12-02,Leadership Potential
PRO000194,EMP000629,2020-12-19,Leadership Potential
PRO000195,EMP000641,2023-05-05,Leadership Potential
PRO000196,EMP000643,2024-10-09,Transfer
PRO000197,EMP000646,2025-06-11,Years of Service
PRO000198,EMP000648,2025-11-05,Good
PRO000199,EMP000650,2020-10-06,Outstanding Performance
PRO000200,EMP000655,2022-07-17,Years of Service
PRO000201,EMP000656,2022-07-21,Outstanding Performance
PRO000202,EMP000657,2023-11-26,Years of Service
PRO000203,EMP000662,2019-08-05,Department Expansion
PRO000204,EMP000663,2022-08-06,Internal Recruitment
PRO000205,EMP000665,2023-12-14,Internal Recruitment
PRO000206,EMP000682,2022-01-24,Leadership Potential
PRO000207,EMP000689,2024-03-02,Transfer
PRO000208,EMP000690,2020-11-20,Department Expansion
PRO000209,EMP000693,2019-09-14,Years of Service
PRO000210,EMP000698,2023-02-26,Years of Service
PRO000211,EMP000702,2023-12-11,Internal Recruitment
PRO000212,EMP000706,2019-07-15,Outstanding Performance
PRO000213,EMP000708,2021-08-05,Years of Service
PRO000214,EMP000715,2024-02-01,Outstanding Performance
PRO000215,EMP000717,2020-04-15,Internal Recruitment
PRO000216,EMP000720,2019-01-21,Internal Recruitment
PRO000217,EMP000722,2019-08-08,Department Expansion
PRO000218,EMP000725,2023-07-17,Internal Recruitment
PRO000219,EMP000726,2019-12-12,Outstanding Performance
PRO000220,EMP000727,2023-06-27,Department Expansion
PRO000221,EMP000728,2019-02-01,Leadership Potential
PRO000222,EMP000729,2023-07-21,Years of Service
PRO000223,EMP000733,2024-10-12,Internal Recruitment
PRO000224,EMP000738,2023-01-27,Department Expansion
PRO000225,EMP000744,2019-03-14,Years of Service
PRO000226,EMP000745,2022-09-02,Outstanding Performance
PRO000227,EMP000746,2022-09-19,Years of Service
PRO000228,EMP000747,2022-12-24,Years of Service
PRO000229,EMP000750,2024-07-27,Years of Service
PRO000230,EMP000759,2023-11-06,Internal Recruitment
PRO000231,EMP000760,2021-07-09,Internal Recruitment
PRO000232,EMP000762,2025-10-03,Department Expansion
PRO000233,EMP000766,2025-02-12,Leadership Potential
PRO000234,EMP000768,2021-01-24,Outstanding Performance
PRO000235,EMP000769,2022-02-13,N/A
PRO000236,EMP000770,2025-11-22,Outstanding Performance
PRO000237,EMP000772,2021-03-27,Internal Recruitment
PRO000238,EMP000774,2021-07-24,Internal Recruitment
PRO000239,EMP000775,2020-04-17,Internal Recruitment
PRO000240,EMP000788,2021-03-24,Department Expansion
PRO000241,EMP000789,2024-10-14,Internal Recruitment
PRO000242,EMP000791,2020-12-17,Internal Recruitment
PRO000243,EMP000792,2023-11-17,
PRO000244,EMP000793,2023-05-23,Internal Recruitment
PRO000245,EMP000798,2019-10-18,Leadership Potential
PRO000246,EMP000807,2023-06-03,Excellent
PRO000247,EMP000811,2025-01-11,Internal Recruitment
PRO000248,EMP000813,2020-05-11,Good
PRO000249,EMP000816,2024-03-27,
PRO000250,EMP000821,2019-05-20,Outstanding Performance
PRO000251,EMP000822,2021-01-12,Department Expansion
PRO000252,EMP000827,2025-09-23,Internal Recruitment
PRO000253,EMP000828,2024-04-14,Leadership Potential
PRO000254,EMP000829,2023-05-24,Leadership Potential
PRO000255,EMP000830,2020-09-25,Years of Service
PRO000256,EMP000831,2024-08-22,
PRO000257,EMP000832,2019-08-01,Department Expansion
PRO000258,EMP000834,2023-05-28,Leadership Potential
PRO000259,EMP000835,2020-02-28,Outstanding Performance
PRO000260,EMP000839,2021-09-15,
PRO000261,EMP000846,2023-03-21,Years of Service
PRO000262,EMP000851,2023-06-04,N/A
PRO000263,EMP000856,2025-12-22,Outstanding Performance
