TrainingID,EmployeeID,TrainingCourse,TrainingProvider,TrainingDate,Result
TRN000001,EMP000001,Customer Service,Microsoft,2021-03-09,In Progress
TRN000002,EMP000001,Quality Management,Udemy,2019-02-28,Completed
TRN000003,EMP000005,Project Management,Deloitte,2020-05-09,Failed
TRN000004,EMP000005,Quality Management,Deloitte,2024-06-05,In Progress
TRN000005,EMP000006,Customer Service,KPMG,2021-11-12,In Progress
TRN000006,EMP000006,Risk Management,KPMG,2020-03-26,Completed
TRN000007,EMP000006,Cybersecurity Awareness,KPMG,2019-10-12,In Progress
TRN000008,EMP000008,Quality Management,Udemy,2020-12-18,In Progress
TRN000009,EMP000008,Data Analytics,Microsoft,2025-07-11,Completed
TRN000010,EMP000008,Quality Management,Microsoft,2021-10-17,Failed
TRN000011,EMP000008,Customer Service,Microsoft,2023-09-05,Completed
TRN000012,EMP000008,Leadership Development,Microsoft,2019-11-08,Completed
TRN000013,EMP000009,Quality Management,Geoflex Academy,2025-09-15,Completed
TRN000014,EMP000009,Leadership Development,Geoflex Academy,2024-07-17,Completed
TRN000015,EMP000010,Data Analytics,Coursera,2023-04-12,Failed
TRN000016,EMP000010,Health and Safety,KPMG,2023-11-24,Completed
TRN000017,EMP000010,Project Management,Coursera,2021-10-18,Completed
TRN000018,EMP000010,PM,Udemy,2021-02-23,In Progress
TRN000019,EMP000011,Cybersecurity Awareness,Udemy,2025-12-28,Failed
TRN000020,EMP000012,Compliance Training,Microsoft,2021-02-03,Failed
TRN000021,EMP000012,Risk Management,Geoflex Academy,2023-04-04,Failed
TRN000022,EMP000012,Health and Safety,Coursera,2024-08-27,In Progress
TRN000023,EMP000012,Health and Safety,Udemy,2022-07-08,Completed
TRN000024,EMP000012,Risk Management,Geoflex Academy,2023-09-06,In Progress
TRN000025,EMP000014,Data Analytics,Geoflex Academy,2020-08-12,Completed
TRN000026,EMP000015,Leadership Development,Microsoft,2023-06-15,Completed
TRN000027,EMP000015,Compliance Training,Microsoft,2025-02-25,Completed
TRN000028,EMP000015,Cybersecurity Awareness,Udemy,2020-11-11,Completed
TRN000029,EMP000015,Risk Management,Udemy,2019-02-24,In Progress
TRN000030,EMP000015,Lean Manufacturing,Coursera,2025-05-03,Completed
TRN000031,EMP000016,Customer Service,Geoflex Academy,2022-02-16,Completed
TRN000032,EMP000016,Leadership Development,Coursera,2022-08-14,Completed
TRN000033,EMP000016,Lean Manufacturing,Geoflex Academy,2024-11-21,In Progress
TRN000034,EMP000016,Compliance Training,Geoflex Academy,2019-08-14,Completed
TRN000035,EMP000016,Cybersecurity Awareness,Deloitte,2021-10-03,Completed
TRN000036,EMP000017,Risk Management,Geoflex Academy,2022-03-08,Completed
TRN000037,EMP000017,Compliance Training,Coursera,2019-01-20,Failed
TRN000038,EMP000017,Lean Manufacturing,Deloitte,2020-11-08,Completed
TRN000039,EMP000018,Health and Safety,Udemy,2020-12-18,Completed
TRN000040,EMP000018,Cyber Security,Geoflex Academy,2023-10-05,Completed
TRN000041,EMP000018,Customer care,Deloitte,2025-09-28,Completed
TRN000042,EMP000018,Quality Management,Coursera,2023-10-22,Completed
TRN000043,EMP000019,Risk Management,Microsoft,2021-11-09,Completed
TRN000044,EMP000020,Compliance Training,Coursera,2021-09-09,Completed
TRN000045,EMP000021,Data Analytics,Deloitte,2019-11-07,In Progress
TRN000046,EMP000022,Cybersecurity Awareness,KPMG,2019-06-18,Failed
TRN000047,EMP000022,Project Management,Udemy,2024-04-03,Failed
TRN000048,EMP000022,Data Analytics,Udemy,2019-05-26,In Progress
TRN000049,EMP000022,Health and Safety,KPMG,2019-01-18,Completed
TRN000050,EMP000023,Risk Management,KPMG,2019-12-23,Completed
TRN000051,EMP000024,Compliance Training,Geoflex Academy,2020-03-01,Completed
TRN000052,EMP000024,Customer Service,Deloitte,2020-09-09,In Progress
TRN000053,EMP000026,Lean Manufacturing,KPMG,2020-12-04,Completed
TRN000054,EMP000026,Compliance Training,Microsoft,2024-03-08,Completed
TRN000055,EMP000027,Data Analytics,Udemy,2019-12-24,Completed
TRN000056,EMP000027,Health and Safety,Udemy,2019-06-23,Completed
